country,expectancy,year
ABW,73.738,1999
ABW,73.787,2000
ABW,73.853,2001
ABW,73.937,2002
ABW,74.038,2003
ABW,74.156,2004
ABW,74.287,2005
ABW,74.429,2006
ABW,74.576,2007
ABW,74.725,2008
ABW,74.872,2009
ABW,75.017,2010
ABW,75.158,2011
ABW,75.299,2012
ABW,75.441,2013
ABW,75.583,2014
ABW,75.725,2015
ABW,75.868,2016
ABW,76.01,2017
ABW,76.152,2018
ABW,76.293,2019
AFG,55.376,1999
AFG,55.841,2000
AFG,56.308,2001
AFG,56.784,2002
AFG,57.271,2003
AFG,57.772,2004
AFG,58.29,2005
AFG,58.826,2006
AFG,59.375,2007
AFG,59.93,2008
AFG,60.484,2009
AFG,61.028,2010
AFG,61.553,2011
AFG,62.054,2012
AFG,62.525,2013
AFG,62.966,2014
AFG,63.377,2015
AFG,63.763,2016
AFG,64.13,2017
AFG,64.486,2018
AFG,64.833,2019
AGO,46.093,1999
AGO,46.522,2000
AGO,47.059,2001
AGO,47.702,2002
AGO,48.44,2003
AGO,49.263,2004
AGO,50.165,2005
AGO,51.143,2006
AGO,52.177,2007
AGO,53.243,2008
AGO,54.311,2009
AGO,55.35,2010
AGO,56.33,2011
AGO,57.236,2012
AGO,58.054,2013
AGO,58.776,2014
AGO,59.398,2015
AGO,59.925,2016
AGO,60.379,2017
AGO,60.782,2018
AGO,61.147,2019
ALB,73.587,1999
ALB,73.955,2000
ALB,74.288,2001
ALB,74.579,2002
ALB,74.828,2003
ALB,75.039,2004
ALB,75.228,2005
ALB,75.423,2006
ALB,75.646,2007
ALB,75.912,2008
ALB,76.221,2009
ALB,76.562,2010
ALB,76.914,2011
ALB,77.252,2012
ALB,77.554,2013
ALB,77.813,2014
ALB,78.025,2015
ALB,78.194,2016
ALB,78.333,2017
ALB,78.458,2018
ALB,78.573,2019
ARE,74.106,1999
ARE,74.327,2000
ARE,74.544,2001
ARE,74.758,2002
ARE,74.968,2003
ARE,75.174,2004
ARE,75.376,2005
ARE,75.573,2006
ARE,75.767,2007
ARE,75.957,2008
ARE,76.145,2009
ARE,76.332,2010
ARE,76.521,2011
ARE,76.711,2012
ARE,76.903,2013
ARE,77.095,2014
ARE,77.285,2015
ARE,77.47,2016
ARE,77.647,2017
ARE,77.814,2018
ARE,77.972,2019
ARG,73.396,1999
ARG,73.576,2000
ARG,73.755,2001
ARG,73.932,2002
ARG,74.107,2003
ARG,74.28,2004
ARG,74.451,2005
ARG,74.62,2006
ARG,74.787,2007
ARG,74.952,2008
ARG,75.116,2009
ARG,75.278,2010
ARG,75.439,2011
ARG,75.598,2012
ARG,75.756,2013
ARG,75.913,2014
ARG,76.068,2015
ARG,76.221,2016
ARG,76.372,2017
ARG,76.52,2018
ARG,76.667,2019
ARM,70.944,1999
ARM,71.409,2000
ARM,71.8,2001
ARM,72.112,2002
ARM,72.348,2003
ARM,72.513,2004
ARM,72.626,2005
ARM,72.716,2006
ARM,72.815,2007
ARM,72.946,2008
ARM,73.118,2009
ARM,73.331,2010
ARM,73.572,2011
ARM,73.82,2012
ARM,74.056,2013
ARM,74.273,2014
ARM,74.467,2015
ARM,74.64,2016
ARM,74.797,2017
ARM,74.945,2018
ARM,75.087,2019
ATG,73.705,1999
ATG,73.94,2000
ATG,74.171,2001
ATG,74.395,2002
ATG,74.613,2003
ATG,74.821,2004
ATG,75.019,2005
ATG,75.204,2006
ATG,75.376,2007
ATG,75.535,2008
ATG,75.683,2009
ATG,75.823,2010
ATG,75.956,2011
ATG,76.087,2012
ATG,76.218,2013
ATG,76.349,2014
ATG,76.483,2015
ATG,76.617,2016
ATG,76.752,2017
ATG,76.885,2018
ATG,77.016,2019
AUS,78.93170732,1999
AUS,79.23414634,2000
AUS,79.63414634,2001
AUS,79.93658537,2002
AUS,80.23902439,2003
AUS,80.4902439,2004
AUS,80.84146341,2005
AUS,81.04146341,2006
AUS,81.29268293,2007
AUS,81.39512195,2008
AUS,81.54390244,2009
AUS,81.69512195,2010
AUS,81.89512195,2011
AUS,82.04634146,2012
AUS,82.14878049,2013
AUS,82.3,2014
AUS,82.4,2015
AUS,82.44878049,2016
AUS,82.5,2017
AUS,82.74878049,2018
AUS,82.9,2019
AUT,77.87560976,1999
AUT,78.12682927,2000
AUT,78.57560976,2001
AUT,78.67804878,2002
AUT,78.63170732,2003
AUT,79.1804878,2004
AUT,79.33170732,2005
AUT,79.8804878,2006
AUT,80.1804878,2007
AUT,80.43170732,2008
AUT,80.33170732,2009
AUT,80.5804878,2010
AUT,80.98292683,2011
AUT,80.93658537,2012
AUT,81.13658537,2013
AUT,81.4902439,2014
AUT,81.1902439,2015
AUT,81.64146341,2016
AUT,81.64390244,2017
AUT,81.69268293,2018
AUT,81.79268293,2019
AZE,66.491,1999
AZE,66.763,2000
AZE,67.054,2001
AZE,67.391,2002
AZE,67.791,2003
AZE,68.249,2004
AZE,68.747,2005
AZE,69.259,2006
AZE,69.752,2007
AZE,70.201,2008
AZE,70.597,2009
AZE,70.938,2010
AZE,71.234,2011
AZE,71.506,2012
AZE,71.768,2013
AZE,72.022,2014
AZE,72.266,2015
AZE,72.493,2016
AZE,72.693,2017
AZE,72.864,2018
AZE,73.005,2019
BDI,48.339,1999
BDI,49.091,2000
BDI,49.93,2001
BDI,50.81,2002
BDI,51.69,2003
BDI,52.547,2004
BDI,53.369,2005
BDI,54.163,2006
BDI,54.944,2007
BDI,55.721,2008
BDI,56.488,2009
BDI,57.228,2010
BDI,57.925,2011
BDI,58.568,2012
BDI,59.148,2013
BDI,59.665,2014
BDI,60.123,2015
BDI,60.528,2016
BDI,60.898,2017
BDI,61.247,2018
BDI,61.584,2019
BEL,77.6195122,1999
BEL,77.72195122,2000
BEL,77.97317073,2001
BEL,78.07560976,2002
BEL,78.12926829,2003
BEL,78.87804878,2004
BEL,78.9804878,2005
BEL,79.3804878,2006
BEL,79.78292683,2007
BEL,79.6804878,2008
BEL,80.03414634,2009
BEL,80.18292683,2010
BEL,80.58536585,2011
BEL,80.38536585,2012
BEL,80.58780488,2013
BEL,81.28780488,2014
BEL,80.99268293,2015
BEL,81.43902439,2016
BEL,81.49268293,2017
BEL,81.59512195,2018
BEL,81.74634146,2019
BEN,55.218,1999
BEN,55.391,2000
