country,population,year
AFG,34134346,1999
AFG,34508766,2000
AFG,34658096,2001
AFG,35823145,2002
AFG,37265282,2003
AFG,37975460,2004
AFG,38605659,2005
AFG,39490611,2006
AFG,39822841,2007
AFG,40214425,2008
AFG,41089617,2009
AFG,41842555,2010
AFG,42603892,2011
AFG,43394807,2012
AFG,44215454,2013
AFG,45074274,2014
AFG,45980138,2015
AFG,46932605,2016
AFG,47929895,2017
AFG,48971205,2018
AFG,50057739,2019
AGO,15197666,1999
AGO,15657215,2000
AGO,16131419,2001
AGO,16685168,2002
AGO,17346091,2003
AGO,18075828,2004
AGO,18789081,2005
AGO,19490185,2006
AGO,20225887,2007
AGO,20995867,2008
AGO,21803771,2009
AGO,22640745,2010
AGO,23498752,2011
AGO,24406974,2012
AGO,25352999,2013
AGO,26313499,2014
AGO,27292149,2015
AGO,28289713,2016
AGO,29310273,2017
AGO,30355880,2018
AGO,31427266,2019
ALB,3187329,1999
ALB,3158352,2000
ALB,3128002,2001
ALB,3098028,2002
ALB,3069665,2003
ALB,3045640,2004
ALB,3024533,2005
ALB,3005779,2006
ALB,2991575,2007
ALB,2984121,2008
ALB,2982540,2009
ALB,2986952,2010
ALB,2994667,2011
ALB,3002859,2012
ALB,3011405,2013
ALB,3020209,2014
ALB,3029278,2015
ALB,3038594,2016
ALB,3047987,2017
ALB,3057220,2018
ALB,3066126,2019
ARE,3051363,1999
ARE,3230742,2000
ARE,3402348,2001
ARE,3555027,2002
ARE,3693043,2003
ARE,3819555,2004
ARE,3935820,2005
ARE,4458540,2006
ARE,5532409,2007
ARE,7159278,2008
ARE,8244563,2009
ARE,8379870,2010
ARE,8541439,2011
ARE,8746089,2012
ARE,8993087,2013
ARE,9181025,2014
ARE,9297706,2015
ARE,9430604,2016
ARE,9566312,2017
ARE,9701315,2018
ARE,9843829,2019
ARG,36923439,1999
ARG,37335675,2000
ARG,37739190,2001
ARG,38131971,2002
ARG,38529402,2003
ARG,38945354,2004
ARG,39367281,2005
ARG,39761782,2006
ARG,40134011,2007
ARG,40531409,2008
ARG,40943942,2009
ARG,41358092,2010
